Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 16.04      0.47     0.47 371764666     0.00     0.00  powf_2
 16.04      0.94     0.47  7587034     0.00     0.00  get_quadra_cylinder_equation
 12.63      1.31     0.37 15174068     0.00     0.00  get_quadra_disc_equation
  7.85      1.54     0.23 34521517     0.00     0.00  norm_of_vector
  6.83      1.74     0.20  7581600     0.00     0.00  get_disc
  6.48      1.93     0.19 16614782     0.00     0.00  normalize_vector
  4.78      2.07     0.14 15165386     0.00     0.00  one_solu_disc
  3.75      2.18     0.11                             _init
  3.41      2.28     0.10 15174068     0.00     0.00  solution_disc
  2.05      2.34     0.06 13947993     0.00     0.00  create_vector
  2.05      2.40     0.06  1263600     0.00     0.00  get_cylinder
  1.37      2.44     0.04  7587034     0.00     0.00  check_solution
  1.37      2.48     0.04  7587034     0.00     0.00  solution
  1.37      2.52     0.04  2100566     0.00     0.00  get_quadra_plan_equation
  1.37      2.56     0.04  1263600     0.00     0.00  get_plane
  1.37      2.60     0.04                             mlx_loop
  1.02      2.63     0.03  1327113     0.00     0.00  two_solu
  1.02      2.66     0.03   720357     0.00     0.00  render_window
  0.68      2.68     0.02 24861668     0.00     0.00  init_solution
  0.68      2.70     0.02  2106000     0.00     0.00  fill_list_intersection
  0.68      2.72     0.02  1263600     0.00     0.00  get_sphere
  0.68      2.74     0.02   842400     0.00     0.00  intersect_self
  0.68      2.76     0.02   840704     0.00     0.00  compute_rgb
  0.68      2.78     0.02   838662     0.00     0.00  in_the_way
  0.68      2.80     0.02   720357     0.00     0.00  get_up_left
  0.68      2.82     0.02   720357     0.00     0.00  get_vec_horizontal
  0.68      2.84     0.02   720357     0.00     0.00  loop_rendering
  0.68      2.86     0.02   421200     0.00     0.00  ambient_light_quo
  0.34      2.87     0.01  2107818     0.00     0.00  list_add
  0.34      2.88     0.01  1264276     0.00     0.00  fill_disp_point
  0.34      2.89     0.01   842400     0.00     0.00  check_light_shadow
  0.34      2.90     0.01   720357     0.00     0.00  get_vec_vertical
  0.34      2.91     0.01   421200     0.00     0.00  create_color
  0.34      2.92     0.01   421200     0.00     0.00  img_pixel_put
  0.34      2.93     0.01   421200     0.00     0.00  loop_light
  0.00      2.93     0.00  2525504     0.00     0.00  get_rayvec_light
  0.00      2.93     0.00  2111857     0.00     0.00  is_closer
  0.00      2.93     0.00  2107818     0.00     0.00  new_elem
  0.00      2.93     0.00  2106000     0.00     0.00  free_list
  0.00      2.93     0.00  2106000     0.00     0.00  get_rayline_eq
  0.00      2.93     0.00  2100566     0.00     0.00  one_solu_plan
  0.00      2.93     0.00  2100566     0.00     0.00  solution_plan
  0.00      2.93     0.00   842400     0.00     0.00  check_no_shadow
  0.00      2.93     0.00   842400     0.00     0.00  get_opposite_vector
  0.00      2.93     0.00   842400     0.00     0.00  multp
  0.00      2.93     0.00   836966     0.00     0.00  get_specific_plane
